dispnum3,styear,endyear,outcome,settle,maxdur,mindur,numa,numb,a_ccode,a_styear,a_endyear,a_revstate,a_revtype1,a_revtype2,a_milex,a_milper,a_irst,a_pec,a_tpop,a_upop,a_cinc,b_ccode,b_styear,b_endyear,b_revstate,b_revtype1,b_revtype2,b_milex,b_milper,b_irst,b_pec,b_tpop,b_upop,b_cinc,war_names
51,1950,1953,5,1,1130,1130,2,17,731,1950,1953,1,1,-9,-9,172.75,10.5,294.5,9023.25,494.75,0.002897,800,1950,1953,0,0,-9,35211,44.25,0,22.5,20536.5,1832.5,0.003034325,
51,1950,1953,5,1,1130,1130,2,17,710,1950,1953,0,0,-9,2724801.25,3269.5,1156.25,41413.5,580554.25,38235,0.1034045,530,1951,1953,0,0,-9,-9,20,0,5,20385.33333,385,0.002249367,
51,1950,1953,5,1,1130,1130,2,17,710,1950,1953,0,0,-9,2724801.25,3269.5,1156.25,41413.5,580554.25,38235,0.1034045,220,1951,1953,0,0,-9,2902666.333,658,10233,93733.66667,42356,7046.666667,0.0327044,
51,1950,1953,5,1,1130,1130,2,17,731,1950,1953,1,1,-9,-9,172.75,10.5,294.5,9023.25,494.75,0.002897,220,1951,1953,0,0,-9,2902666.333,658,10233,93733.66667,42356,7046.666667,0.0327044,
51,1950,1953,5,1,1130,1130,2,17,731,1950,1953,1,1,-9,-9,172.75,10.5,294.5,9023.25,494.75,0.002897,900,1950,1953,0,0,-9,322330.5,40,1552,18163.75,8513,4545.25,0.0068419,
51,1950,1953,5,1,1130,1130,2,17,710,1950,1953,0,0,-9,2724801.25,3269.5,1156.25,41413.5,580554.25,38235,0.1034045,2,1950,1953,0,0,-9,36357502,2975,92263.25,1306301.25,156221.5,45094.75,0.306617075,
51,1950,1953,5,1,1130,1130,2,17,710,1950,1953,0,0,-9,2724801.25,3269.5,1156.25,41413.5,580554.25,38235,0.1034045,350,1950,1953,0,0,-9,166440,173.5,32.75,329.5,7690.5,989.25,0.00304855,
51,1950,1953,5,1,1130,1130,2,17,731,1950,1953,1,1,-9,-9,172.75,10.5,294.5,9023.25,494.75,0.002897,560,1951,1953,0,0,-9,60321,12.66666667,1187.666667,24550.66667,13922.33333,2218.333333,0.005078433,
51,1950,1953,5,1,1130,1130,2,17,710,1950,1953,0,0,-9,2724801.25,3269.5,1156.25,41413.5,580554.25,38235,0.1034045,920,1950,1953,0,0,-9,53169.5,9.5,0,2144.5,1974.25,373,0.000698075,
51,1950,1953,5,1,1130,1130,2,17,710,1950,1953,0,0,-9,2724801.25,3269.5,1156.25,41413.5,580554.25,38235,0.1034045,560,1951,1953,0,0,-9,60321,12.66666667,1187.666667,24550.66667,13922.33333,2218.333333,0.005078433,
51,1950,1953,5,1,1130,1130,2,17,731,1950,1953,1,1,-9,-9,172.75,10.5,294.5,9023.25,494.75,0.002897,840,1950,1953,0,0,-9,52000.25,29.5,0,101.25,21223.25,2137.5,0.003178675,
51,1950,1953,5,1,1130,1130,2,17,731,1950,1953,1,1,-9,-9,172.75,10.5,294.5,9023.25,494.75,0.002897,210,1950,1953,0,0,-9,298554.5,214.5,647.75,28154.75,10313.25,3284,0.00759295,
51,1950,1953,5,1,1130,1130,2,17,710,1950,1953,0,0,-9,2724801.25,3269.5,1156.25,41413.5,580554.25,38235,0.1034045,800,1950,1953,0,0,-9,35211,44.25,0,22.5,20536.5,1832.5,0.003034325,
51,1950,1953,5,1,1130,1130,2,17,710,1950,1953,0,0,-9,2724801.25,3269.5,1156.25,41413.5,580554.25,38235,0.1034045,210,1950,1953,0,0,-9,298554.5,214.5,647.75,28154.75,10313.25,3284,0.00759295,
51,1950,1953,5,1,1130,1130,2,17,710,1950,1953,0,0,-9,2724801.25,3269.5,1156.25,41413.5,580554.25,38235,0.1034045,840,1950,1953,0,0,-9,52000.25,29.5,0,101.25,21223.25,2137.5,0.003178675,
51,1950,1953,5,1,1130,1130,2,17,731,1950,1953,1,1,-9,-9,172.75,10.5,294.5,9023.25,494.75,0.002897,530,1951,1953,0,0,-9,-9,20,0,5,20385.33333,385,0.002249367,
51,1950,1953,5,1,1130,1130,2,17,710,1950,1953,0,0,-9,2724801.25,3269.5,1156.25,41413.5,580554.25,38235,0.1034045,732,1950,1953,1,1,-9,50363,286,1.75,980,20349,3387.75,0.0059635,
51,1950,1953,5,1,1130,1130,2,17,731,1950,1953,1,1,-9,-9,172.75,10.5,294.5,9023.25,494.75,0.002897,211,1951,1953,0,0,-9,351788.6667,81.33333333,4872.666667,32357,8728.666667,878,0.0087267,
51,1950,1953,5,1,1130,1130,2,17,710,1950,1953,0,0,-9,2724801.25,3269.5,1156.25,41413.5,580554.25,38235,0.1034045,200,1950,1953,0,0,-9,3628903,813,16753.75,209563.5,50690.75,19067.75,0.05835595,
51,1950,1953,5,1,1130,1130,2,17,710,1950,1953,0,0,-9,2724801.25,3269.5,1156.25,41413.5,580554.25,38235,0.1034045,640,1950,1953,0,0,-9,244513,546,135.5,3156.25,21661.5,1797.25,0.0082073,
51,1950,1953,5,1,1130,1130,2,17,731,1950,1953,1,1,-9,-9,172.75,10.5,294.5,9023.25,494.75,0.002897,350,1950,1953,0,0,-9,166440,173.5,32.75,329.5,7690.5,989.25,0.00304855,
51,1950,1953,5,1,1130,1130,2,17,731,1950,1953,1,1,-9,-9,172.75,10.5,294.5,9023.25,494.75,0.002897,2,1950,1953,0,0,-9,36357502,2975,92263.25,1306301.25,156221.5,45094.75,0.306617075,
51,1950,1953,5,1,1130,1130,2,17,731,1950,1953,1,1,-9,-9,172.75,10.5,294.5,9023.25,494.75,0.002897,920,1950,1953,0,0,-9,53169.5,9.5,0,2144.5,1974.25,373,0.000698075,
